id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
2167,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Hardhat","None","None","None","Orbital Miners Guild"
2168,"Cove Carver","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Good King Maude","Medium Grey Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Engineers Guild"
2169,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Trailmaker","Light Grey Milo Charm","The Sink","None","Lighthouse Sept"
2170,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Hardhat","White Air Supply Amulet","Little Huffy","None","Saddler Racing League"
2171,"Roulette","Drifter","Eye Patch","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","The Pillowcase","White Drippy Charm","Little Huffy","None","Roving Terror"
2172,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Black","Chords","Smocker","Hangtooth","None","Caddypack","Simple Regulator","Cross of the Round Power"
2173,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Trailmaker","Medium Grey Drippy Charm","None","Utility Vest","Freebooters Flag"
2174,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","Hardhat","None","Little Huffy","Heavy Duty Regulator","Saddler Racing League"
2175,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Headforge","Light Grey Suit Integrity Amulet","Fancypack","None","Deepsatch"
2176,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Rustler's Braincage","None","The Sink","Simple Regulator","The Path"
2177,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","The Spyhopper","Light Grey Decontamination Amulet","None","None","Cross of the Round Power"
2178,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Headforge","None","Little Huffy","Multiband Regulator","Machinist Social Club"
2179,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Puffy Face","Light Grey Air Supply Amulet","The Sink","Multiband Regulator","Slash Patcher"
2180,"Wedge","Drifter","Hypervisor","None","None","Phase 2","The Void","Black","Solid","Smocker","The Pillowcase","None","Fancypack","Encased Regulator","Mesmegraph"
2181,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Puffy Face","None","Caddypack","Encased Regulator","The Borsch Conservatory of Gastrotechs"
2182,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","The Spyhopper","Dark Grey Sanity Amulet","None","None","Mark Stay"
2183,"Thruster","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","The Spyhopper","Medium Grey Sanity Amulet","Bobpack","None","Mesmegraph"
2184,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Gray","Arvis Edition","Deverin Jacket","The Pillowcase","Yellow Drippy Charm","Bobpack","Heavy Duty Regulator","Cove Stalkers"
2185,"Trunker","Drifter","None","None","None","Phase 2","The Void","Green","Cowl","Smocker","Hangtooth","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","Engineers Guild"
2186,"Trunker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Rustler's Braincage","None","Fancypack","Heavy Duty Regulator","Cathedral"
2187,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Hangtooth","None","None","None","No Damage"
2188,"Wedge","Drifter","None","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Rustler's Braincage","Medium Grey Air Supply Amulet","Little Huffy","Multiband Regulator","The Man Earlie Expeditionary Society"
2189,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","Boxhead","White Air Supply Amulet","Fancypack","Simple Regulator","Subsurface Miners Guild"
2190,"Trunker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Prongshell","Rustler's Braincage","None","None","None","Longhaulers"
2191,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Hardhat","Medium Grey Sanity Amulet","Fancypack","Simple Regulator","Longhaulers"
2192,"Prongseat","Drifter","Hypervisor","None","None","Phase 2","The Void","Black","Solid","Prongshell","The Pillowcase","None","None","None","Engineers Guild"
2193,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Hardhat","None","Fancypack","Simple Regulator","Dark Ether House"
2194,"Ball Claw","Drifter","Leergear","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Kipper","Light Grey Milo Charm","The Sink","Multiband Regulator","Saddler Racing League"
2195,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","The Stalker","Dark Grey Air Supply Amulet","Little Huffy","None","The Bench"
2196,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","The Scaper","Light Grey Milo Charm","The Sink","Multiband Regulator","House of Ourbous"
2197,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","The Spyhopper","None","Fancypack","None","Saddler Racing League"
2198,"Prongseat","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Black","Strapt","Duggie","Kipper","None","None","Utility Vest","Dugall Freight"
2199,"Prongseat","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Puffy Face","Light Grey Decontamination Amulet","None","None","The Borsch Conservatory of Gastrotechs"
2200,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Deverin Jacket","Boxhead","Red Air Supply Amulet","Little Huffy","Encased Regulator","Lighthouse Sept"
2201,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","The Path"
2202,"Thruster","Drifter","None","None","None","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Hardhat","None","The Sink","Encased Regulator","Roving Terror"
2203,"Roulette","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","The Stalker","White Drippy Charm","Fancypack","Heavy Duty Regulator","League of Channel"
2204,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Puffy Face","None","The Sink","Simple Regulator","Cove Stalkers"
2205,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","Good King Maude","None","None","Fine Tool Harness","The Path"
2206,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Hardhat","Medium Grey Drippy Charm","Little Huffy","Simple Regulator","Cove Stalkers"
2207,"Thruster","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Rustler's Braincage","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Engineers Guild"
2208,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Good King Maude","None","Caddypack","Heavy Duty Regulator","The Path"
2209,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Stalker","Yellow Drippy Charm","The Sink","Heavy Duty Regulator","Survivalist Guild"
2210,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Boxhead","White Air Supply Amulet","Little Huffy","Multiband Regulator","The Man Earlie Expeditionary Society"
2211,"Thruster","Drifter","None","None","None","Phase 2","The Void","White","Cowl","Smocker","Rustler's Braincage","Dark Grey Drippy Charm","Fancypack","Encased Regulator","The Path"
2212,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Puffy Face","None","Fancypack","Simple Regulator","Free Fringe"
2213,"The Nozzle","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","The Pillowcase","Light Grey Suit Integrity Amulet","Little Huffy","Multiband Regulator","Beshtala Expatriation Roster"
2214,"Roulette","Drifter","Eye Patch","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Kipper","White Drippy Charm","None","Utility Vest","No Damage"
2215,"Roulette","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","The Spyhopper","Red Air Supply Amulet","Little Huffy","Simple Regulator","Beshtala Expatriation Roster"
2216,"Chainflicker","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Spyhopper","None","Little Huffy","Multiband Regulator","Beshtala Expatriation Roster"
2217,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Spyhopper","None","The Sink","Multiband Regulator","The Bench"
2218,"The (Fat) Koltso","Drifter","Leergear","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Pillowcase","White Drippy Charm","Caddypack","Multiband Regulator","Roving Terror"
2219,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Hardhat","None","None","None","Beshtala Expatriation Roster"
2220,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Cowl","Smocker","Hangtooth","None","The Sink","None","The Bench"
2221,"The Nozzle","Drifter","Leergear","None","None","Phase 2","The Void","Red","Solid","Prongshell","Kipper","Light Grey Suit Integrity Amulet","None","None","The Pyramid Order"
2222,"Trunker","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","Headforge","None","Fancypack","Fine Tool Harness","Deepsatch"
2223,"Roulette","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Kipper","None","Fancypack","None","The Path"
2224,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Hardhat","Light Grey Suit Integrity Amulet","None","None","No Damage"
2225,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","The Pillowcase","None","None","None","Roving Terror"
2226,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Rustler's Braincage","None","None","None","Dugall Freight"
2227,"The Shriek","Drifter","Eye Patch","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","The Pillowcase","Light Grey Milo Charm","Caddypack","Fine Tool Harness","Beshtala Expatriation Roster"
2228,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","The Stalker","White Air Supply Amulet","Fancypack","None","Cathedral"
2229,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","White Drippy Charm","Caddypack","Heavy Duty Regulator","Combustible"
2230,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Trailmaker","None","None","None","Union of Merchants"
2231,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","The Scaper","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Saddler Racing League"
2232,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hangtooth","White Drippy Charm","Caddypack","Heavy Duty Regulator","Engineers Guild"
2233,"Thruster","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Hardhat","None","None","None","Topography Society"
2234,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Headforge","White Air Supply Amulet","Fancypack","Simple Regulator","Beshtala-Chanko"
2235,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Rustler's Braincage","Medium Grey Sanity Amulet","Bobpack","Multiband Regulator","The Pyramid Order"
2236,"Roulette","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","The Stalker","White Drippy Charm","Bobpack","None","The Path"
2237,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Black","Chords","Smocker","The Pillowcase","Dark Grey Sanity Amulet","None","None","Grid Gang"
2238,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","The Pillowcase","White Air Supply Amulet","Little Huffy","Simple Regulator","Roving Terror"
2239,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Pillowcase","Light Grey Suit Integrity Amulet","Fancypack","Multiband Regulator","Cross of the Round Power"
2240,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Soup Gagers","Dark Grey Milo Charm","None","Utility Vest","Wings"
2241,"Kickback Bombshot","Freight Wars Veterans","None","Powerjuice Mixer","None","Phase 2","The Void","Dugall","None","Dugall Freight Smocker","Dugall Freight Pillowcase","None","Bombshot Fuel Cell","None","Dugall Freight"
2242,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","The Scaper","None","None","Utility Vest","Dark Ether House"
2243,"Thruster","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Trailmaker","Light Grey Milo Charm","The Sink","Simple Regulator","Subsurface Miners Guild"
2244,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Puffy Face","None","Little Huffy","Heavy Duty Regulator","Beshtala-Chanko"
2245,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Hardhat","Light Grey Milo Charm","None","Utility Vest","Venonauts"
2246,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Hangtooth","Dark Grey Drippy Charm","Fancypack","None","House of Ourbous"
2247,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Backstab Squeezebox","Yellow Drippy Charm","Bobpack","Heavy Duty Regulator","Slash Patcher"
2248,"Ball Claw","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Rustler's Braincage","None","None","Utility Vest","Dugall Freight"
2249,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Sacred Passage","Smocker","Rustler's Braincage","None","Fancypack","Encased Regulator","Survivalist Guild"
2250,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","Light Grey Suit Integrity Amulet","Little Huffy","Simple Regulator","Survivalist Guild"
2251,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Hangtooth","None","Little Huffy","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2252,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Trailmaker","None","None","None","Subsurface Miners Guild"
2253,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Hangtooth","None","Little Huffy","Simple Regulator","The Bench"
2254,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Spyhopper","None","Caddypack","Encased Regulator","Orbital Miners Guild"
