id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
2425,"The (Fat) Koltso","The Sink","Drifter","None","Saddler Racing League","Hardhat","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","None"
2426,"Chainflicker","Fancypack","Drifter","None","Union of Merchants","The Stalker","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","None"
2427,"Hull Breacher","None","Drifter","None","Grid Gang","Hardhat","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Red","Solid","None"
2428,"Everdull Snippies","Bobpack","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Yellow Drippy Charm"
2429,"The Nozzle","Bobpack","Drifter","None","Gael","Trailmaker","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Gray","Scripture","None"
2430,"The Nozzle","Bobpack","Drifter","None","Engineers Guild","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2431,"The (Fat) Koltso","Little Huffy","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","White Air Supply Amulet"
2432,"Cove Carver","Fancypack","Drifter","None","Topography Society","Good King Maude","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
2433,"Hull Breacher","The Sink","Drifter","None","Deepsatch","The Spyhopper","None","The Void","Phase 2","None","Duggie","Fine Tool Harness","None","Black","Strapt","Light Grey Milo Charm"
2434,"Hull Breacher","Fancypack","Drifter","None","The Path","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Red","Solid","None"
2435,"Hole Puncher","The Sink","Drifter","None","Saddler Racing League","The Spyhopper","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Red Sanity Amulet"
2436,"Faulk's Icepick","Caddypack","Drifter","None","Cove Stalkers","The Scaper","None","The Void","Phase 2","Yes","Vayon Worksuit","Encased Regulator","None","Gray","Solid","None"
2437,"The Nozzle","Little Huffy","Drifter","None","Engineers Guild","Kipper","None","The Void","Phase 2","Yes","Vayon Worksuit","Encased Regulator","None","Gray","Solid","Light Grey Suit Integrity Amulet"
2438,"Death Beam","Fancypack","Drifter","None","Roving Terror","The Pillowcase","Eye Patch","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Red","Solid","Light Grey Suit Integrity Amulet"
2439,"The Nozzle","Fancypack","Drifter","None","Mark Stay","The Pillowcase","Leergear","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","Light Grey Suit Integrity Amulet"
2440,"Trunker","Little Huffy","Drifter","None","The Bench","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Green","Cap Flag","Medium Grey Sanity Amulet"
2441,"Trunker","None","Drifter","None","Beshtala-Chanko","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Foss","None"
2442,"Trunker","Little Huffy","Drifter","None","Margul","Headforge","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","None"
2443,"Trunker","The Sink","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Solid","None"
2444,"Roulette","The Sink","Drifter","None","The Borsch Conservatory of Gastrotechs","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","White Drippy Charm"
2445,"The (Fat) Koltso","None","Drifter","None","Topography Society","Kipper","Leergear","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Medium Grey Drippy Charm"
2446,"Hull Breacher","Caddypack","Drifter","None","Combustible","The Scaper","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","Dark Grey Air Supply Amulet"
2447,"The (Fat) Koltso","Caddypack","Drifter","None","Dark Ether House","Hardhat","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
2448,"The Shriek","The Sink","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
2449,"Death Beam","Little Huffy","Drifter","None","Cross of the Round Power","The Scaper","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","None"
2450,"Thruster","Fancypack","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Gray","Solid","Light Grey Suit Integrity Amulet"
2451,"The Shriek","Caddypack","Drifter","None","Venonauts","Kipper","Leergear","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Red","Cowl","None"
2452,"Everdull Snippies","Caddypack","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","Red","Solid","None"
2453,"Ball Claw","Little Huffy","Drifter","None","High Tox","The Scaper","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","Red Air Supply Amulet"
2454,"The Nozzle","None","Drifter","None","Machinist Social Club","BC Shiner","Driftcore Shades","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Green","Foss","None"
2455,"The Nozzle","The Sink","Drifter","None","Cathedral","Kipper","Hypervisor","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","Light Grey Suit Integrity Amulet"
2456,"Kickback Bombshot","Bombshot Fuel Cell","Freight Wars Veterans","None","Dugall Freight","Dugall Freight BC Shiner","None","The Void","Phase 2","None","Dugall Freight Prongshell","None","Powerjuice Mixer","Dugall","None","None"
2457,"Trunker","The Sink","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","None"
2458,"The Koltso","Bobpack","Drifter","None","The Borsch Conservatory of Gastrotechs","Puffy Face","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Solid","Light Grey Air Supply Amulet"
2459,"The Shriek","The Sink","Drifter","None","Cathedral","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","None"
2460,"The (Fat) Koltso","Caddypack","Drifter","None","Margul","The Spyhopper","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Sacred Passage","Dark Grey Milo Charm"
2461,"Hole Puncher","The Sink","Drifter","None","Freebooters Flag","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Medium Grey Air Supply Amulet"
2462,"The (Fat) Koltso","Little Huffy","Drifter","None","Mesmegraph","Kipper","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Solid","Medium Grey Drippy Charm"
2463,"Hole Puncher","Caddypack","Drifter","None","Lighthouse Sept","Trailmaker","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","Light Grey Decontamination Amulet"
2464,"The (Fat) Koltso","Caddypack","Drifter","None","The Path","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","Yellow Drippy Charm"
2465,"Trunker","Fancypack","Drifter","None","Topography Society","Hardhat","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Red","Solid","Dark Grey Drippy Charm"
2466,"Cove Carver","None","Drifter","None","The Bench","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","None"
2467,"Hull Breacher","The Sink","Drifter","None","Free Fringe","Headforge","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","Light Grey Milo Charm"
2468,"Kickback Bombshot","Bombshot Fuel Cell","Freight Wars Veterans","None","Round Power","Round Power Hardhat","None","The Void","Phase 2","None","Round Power Kreegal Cloak","None","Powerjuice Mixer","Round Power","None","None"
2469,"Bolt Harp","The Sink","Drifter","None","Engineers Guild","Boxhead","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Solid","None"
2470,"Kickback Bombshot","Bombshot Fuel Cell","Freight Wars Veterans","None","Dugall Freight","Dugall Freight BC Shiner","Dugall Eye Patch","The Void","Phase 2","None","Dugall Freight Prongshell","None","Powerjuice Mixer","Dugall","None","None"
2471,"Thruster","Bobpack","Drifter","None","Freebooters Flag","Boxhead","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red","Cap Flag","Medium Grey Sanity Amulet"
2472,"Chainflicker","Bobpack","Drifter","None","Beshtala Expatriation Roster","The Pillowcase","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Red","Sacred Passage","Dark Grey Decontamination Amulet"
2473,"Roulette","Caddypack","Drifter","None","Machinist Social Club","Puffy Face","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Scripture","White Suit Integrity Amulet"
2474,"Death Beam","Caddypack","Drifter","None","Beshtala Expatriation Roster","Kipper","Driftcore Shades","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Scripture","Green Milo Charm"
2475,"Steady Hammer","None","Drifter","None","The Bench","The Spyhopper","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Green","Foss","None"
2476,"Hull Breacher","Caddypack","Drifter","None","Subsurface Miners Guild","Boxhead","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","None"
2477,"The Nozzle","The Sink","Drifter","None","Beshtala-Chanko","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Solid","None"
2478,"The (Fat) Koltso","The Sink","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Sacred Passage","None"
2479,"Ball Claw","Caddypack","Drifter","None","Cove Stalkers","The Pillowcase","Leergear","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Green","Sacred Passage","None"
2480,"Round Foot","Fancypack","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Gray","Solid","Light Grey Suit Integrity Amulet"
2481,"Bolt Harp","Bobpack","Drifter","None","Cross of the Round Power","Hangtooth","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Yellow Drippy Charm"
2482,"Trunker","The Sink","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Gray","Solid","Red Sanity Amulet"
2483,"Cove Carver","Fancypack","Drifter","None","League of Channel","Good King Maude","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","White Air Supply Amulet"
2484,"Steady Hammer","None","Drifter","None","League of Channel","Rustler's Braincage","None","The Void","Phase 2","None","Prongshell","None","None","Black","Solid","None"
2485,"Hull Breacher","The Sink","Drifter","None","Mesmegraph","Headforge","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","None"
2486,"Steady Hammer","The Sink","Drifter","None","Freebooters Flag","Boxhead","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","None"
2487,"Bolt Harp","Little Huffy","Drifter","None","The Path","Boxhead","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Red","Cowl","Yellow Air Supply Amulet"
2488,"The (Fat) Koltso","None","Drifter","None","The Man Earlie Expeditionary Society","Boxhead","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Gray","Solid","None"
2489,"Bolt Harp","Fancypack","Drifter","None","Beshtala-Chanko","The Stalker","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Sacred Passage","Dark Grey Drippy Charm"
2490,"Thruster","Fancypack","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Chords","Light Grey Suit Integrity Amulet"
2491,"Prongseat","The Sink","Drifter","None","Lethal","Soup Gagers","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","Dark Grey Air Supply Amulet"
2492,"The Shriek","None","Drifter","None","The Pyramid Order","The Spyhopper","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Light Grey Milo Charm"
2493,"Faulk's Icepick","None","Drifter","None","Mark Stay","The Scaper","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","Light Grey Air Supply Amulet"
2494,"Hull Breacher","None","Drifter","None","Margul","Headforge","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","None"
2495,"The Nozzle","Little Huffy","Drifter","None","Dark Ether House","Kipper","None","The Void","Phase 2","Yes","Vayon Worksuit","Simple Regulator","None","Gray","Solid","None"
2496,"The Shriek","None","Drifter","None","Venonauts","Hardhat","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Green","Foss","None"
2497,"Hull Breacher","None","Drifter","None","Beshtala Expatriation Roster","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
2498,"Trunker","Little Huffy","Drifter","None","Orbital Miners Guild","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Green","Cap Flag","Medium Grey Sanity Amulet"
2499,"Trunker","Little Huffy","Drifter","None","Union of Merchants","Boxhead","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red","Cap Flag","Yellow Air Supply Amulet"
2500,"Faulk's Icepick","Caddypack","Drifter","None","Grid Gang","BC Shiner","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Solid","None"
2501,"Steady Hammer","Fancypack","Drifter","None","Deepsatch","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","None"
2502,"Hull Breacher","Fancypack","Drifter","None","Cove Stalkers","Hardhat","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Green","Solid","None"
2503,"Hull Breacher","The Sink","Drifter","None","The Bench","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","Light Grey Milo Charm"
2504,"Trunker","None","Drifter","None","Union of Merchants","The Stalker","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Medium Grey Sanity Amulet"
2505,"Hull Breacher","None","Drifter","None","Beshtala Expatriation Roster","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
2506,"Death Beam","The Sink","Drifter","None","Topography Society","Kipper","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","Red Sanity Amulet"
